T, CaO, SiO2, Al2O3, CO2, H2O, pH, MassWater, Ca_aq, Si_aq, Al_aq, C_aq, O_aq, H_aq, Ca_s, Si_s, Al_s, C_s, O_s,  H_s, Portlandite, AmorfSi, Gibbsite, Katoite, Straetlingite, Calcite, Hemicarbonate, Monocarbonate, Chabazite, mCSHQ, Ca_ss, Si_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.359106e+00,4.605436e-01,3.776757e-02,2.371458e-01,7.378453e-02,1.247258e+01,3.780636e-02,7.673963e-04,1.170001e-06,2.769542e-07,2.485983e-07,1.538527e-03,1.531756e-03,1.358339e+00,4.605424e-01,7.553486e-02,2.371456e-01,4.866502e+00,3.998971e+00,2.585788e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.993781e-01,0.000000e+00,3.776743e-02,0.000000e+00,9.356949e-02,7.493120e-01,4.605424e-01,1.325465e+00,6.763535e+01,5.668610e-01
2.500000e+01,1.199469e+00,5.935766e-01,6.326792e-02,7.805700e-01,9.205282e-02,1.063729e+01,7.182216e-02,6.279986e-05,9.501297e-05,2.475456e-06,1.052176e-06,3.172738e-04,1.132610e-04,1.199406e+00,5.934816e-01,1.265334e-01,7.805689e-01,5.260802e+00,2.246990e+00,0.000000e+00,0.000000e+00,1.265334e-01,0.000000e+00,0.000000e+00,7.805689e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.596702e-02,4.188373e-01,5.934816e-01,9.336949e-01,6.620273e+01,3.288936e-01
2.500000e+01,1.062607e+00,3.948823e-01,4.844373e-02,2.838286e-01,9.789838e-02,1.244658e+01,6.816257e-02,1.292549e-03,2.335984e-06,5.958449e-07,4.499531e-07,2.590565e-03,2.579100e-03,1.061314e+00,3.948800e-01,9.688686e-02,2.838282e-01,4.218683e+00,3.309244e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.353847e-01,0.000000e+00,4.844343e-02,0.000000e+00,7.938431e-02,6.321560e-01,3.948800e-01,1.121744e+00,5.675072e+01,4.785105e-01
2.500000e+01,1.089296e+00,5.884618e-01,6.951972e-02,4.109406e-01,7.673327e-02,1.165885e+01,4.733893e-02,1.350493e-04,1.234813e-05,6.212719e-06,3.963933e-07,2.963472e-04,2.489796e-04,1.089161e+00,5.884495e-01,1.390332e-01,4.109402e-01,4.928604e+00,3.264228e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.951661e-02,4.109402e-01,0.000000e+00,0.000000e+00,0.000000e+00,8.080007e-02,5.391875e-01,5.189328e-01,1.075981e+00,6.472928e+01,3.957547e-01
2.500000e+01,1.396217e+00,4.147901e-01,3.562061e-02,7.814970e-01,9.625724e-02,1.206972e+01,7.251399e-02,5.309184e-04,7.824914e-06,8.665475e-06,5.175125e-07,1.081869e-03,1.038534e-03,1.395686e+00,4.147823e-01,7.123255e-02,7.814965e-01,5.214748e+00,2.639310e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.470402e-02,7.605842e-01,0.000000e+00,2.091226e-02,0.000000e+00,7.082400e-02,5.220448e-01,4.000783e-01,9.719882e-01,6.717812e+01,3.766532e-01
2.500000e+01,1.291023e+00,4.680118e-01,3.681305e-02,4.173400e-01,1.163369e-01,1.247250e+01,8.487202e-02,1.722382e-03,2.627356e-06,6.220754e-07,5.580882e-07,3.450658e-03,3.437944e-03,1.289301e+00,4.680092e-01,7.362548e-02,4.173394e-01,4.922377e+00,3.503882e+00,1.000587e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.805267e-01,0.000000e+00,3.681274e-02,0.000000e+00,9.508344e-02,7.614229e-01,4.680092e-01,1.346901e+00,6.620686e+01,5.760256e-01
2.500000e+01,9.627983e-01,4.945553e-01,3.528079e-02,4.201642e-01,1.264478e-01,1.164096e+01,1.043615e-01,2.868587e-04,2.819082e-05,1.386513e-05,8.818817e-07,6.312230e-04,5.268424e-04,9.625114e-01,4.945271e-01,7.054771e-02,4.201633e-01,4.124722e+00,2.454017e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.527386e-02,4.201633e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.107242e-02,4.718004e-01,4.592533e-01,9.448174e-01,5.352427e+01,3.475525e-01
2.500000e+01,1.226241e+00,4.434821e-01,4.621305e-02,4.347330e-01,8.534918e-02,1.230281e+01,5.501004e-02,7.190911e-04,3.115912e-06,1.289736e-06,3.721341e-07,1.445145e-03,1.430287e-03,1.225522e+00,4.434790e-01,9.242481e-02,4.347326e-01,4.806914e+00,3.372663e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.885202e-01,0.000000e+00,4.621241e-02,0.000000e+00,8.443905e-02,6.521521e-01,4.434790e-01,1.177995e+00,6.342859e+01,4.860645e-01
2.500000e+01,1.183064e+00,3.191211e-01,3.119958e-02,4.068315e-01,1.438020e-01,1.247258e+01,1.183075e-01,2.401415e-03,3.661284e-06,8.666715e-07,7.779391e-07,4.810258e-03,4.793328e-03,1.180663e+00,3.191174e-01,6.239829e-02,4.068307e-01,4.148807e+00,2.845302e+00,1.610238e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.756316e-01,0.000000e+00,3.119915e-02,0.000000e+00,6.483584e-02,5.192106e-01,3.191174e-01,9.184366e-01,5.635419e+01,3.927873e-01
2.500000e+01,1.054208e+00,3.302747e-01,3.982527e-02,6.375531e-01,1.365017e-01,1.183995e+01,1.190976e-01,5.055080e-04,2.155195e-05,1.432769e-05,9.185567e-07,1.055604e-03,9.633260e-04,1.053702e+00,3.302531e-01,7.963621e-02,6.375522e-01,4.076528e+00,1.935521e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.981811e-02,6.375522e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.801724e-02,3.365141e-01,2.904350e-01,6.492157e-01,5.264378e+01,2.412617e-01
