T, CaO, SiO2, Al2O3, H2O, pH, MassWater, Ca_aq, Si_aq, Al_aq, O_aq, H_aq, Ca_s, Si_s, Al_s, O_s,  H_s, Portlandite, AmorfSi, Gibbsite, Katoite, Straetlingite, Chabazite, mCSHQ, Ca_ss, Si_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.338416e+00,4.997655e-01,5.342410e-02,1.217516e-01,1.247216e+01,8.361585e-02,1.700744e-03,2.587573e-06,1.074973e-05,3.416911e-03,3.385735e-03,1.336715e+00,4.997629e-01,1.068375e-01,4.618688e+00,4.244381e+00,3.633347e-01,0.000000e+00,0.000000e+00,5.341873e-02,0.000000e+00,0.000000e+00,1.015380e-01,8.131244e-01,4.997629e-01,1.438343e+00,6.540041e+01,6.151357e-01
2.500000e+01,1.060563e+00,5.671580e-01,4.001497e-02,5.505015e-02,1.247216e+01,2.103070e-02,4.277641e-04,6.508232e-07,2.703718e-06,8.609043e-04,8.515659e-04,1.060135e+00,5.671573e-01,8.002724e-02,4.204198e+00,3.779415e+00,1.731768e-02,0.000000e+00,0.000000e+00,4.001362e-02,0.000000e+00,0.000000e+00,1.152307e-01,9.227767e-01,5.671573e-01,1.632308e+00,5.807552e+01,6.980886e-01
2.500000e+01,9.521924e-01,3.735092e-01,3.996972e-02,1.447834e-01,1.247216e+01,1.172293e-01,2.384439e-03,3.627621e-06,1.507109e-05,4.789697e-03,4.746792e-03,9.498080e-01,3.735056e-01,7.992437e-02,3.353667e+00,3.073923e+00,2.222202e-01,0.000000e+00,0.000000e+00,3.996218e-02,0.000000e+00,0.000000e+00,7.588600e-02,6.077012e-01,3.735056e-01,1.074968e+00,4.725320e+01,4.597312e-01
2.500000e+01,1.384425e+00,5.753451e-01,6.914958e-02,1.291297e-01,1.247216e+01,8.761788e-02,1.782145e-03,2.711395e-06,1.126422e-05,3.580354e-03,3.547781e-03,1.382643e+00,5.753424e-01,1.382879e-01,5.050605e+00,4.619692e+00,2.391172e-01,0.000000e+00,0.000000e+00,6.914395e-02,0.000000e+00,0.000000e+00,1.168937e-01,9.360938e-01,5.753424e-01,1.655865e+00,7.051250e+01,7.081631e-01
2.500000e+01,1.169387e+00,5.184334e-01,4.615481e-02,7.631150e-02,1.247216e+01,4.112840e-02,8.365512e-04,1.272774e-06,5.287495e-06,1.681705e-03,1.665353e-03,1.168550e+00,5.184321e-01,9.230433e-02,4.299453e+00,3.911163e+00,1.865943e-01,0.000000e+00,0.000000e+00,4.615217e-02,0.000000e+00,0.000000e+00,1.053311e-01,8.434996e-01,5.184321e-01,1.492074e+00,6.016522e+01,6.381148e-01
2.500000e+01,1.264311e+00,4.530144e-01,3.308781e-02,1.393409e-01,1.247216e+01,1.047249e-01,2.130107e-03,3.240941e-06,1.346352e-05,4.279025e-03,4.240482e-03,1.262181e+00,4.530112e-01,6.616216e-02,4.195602e+00,3.856310e+00,4.258793e-01,0.000000e+00,0.000000e+00,3.308108e-02,0.000000e+00,0.000000e+00,9.203933e-02,7.370584e-01,4.530112e-01,1.303789e+00,6.017726e+01,5.575910e-01
2.500000e+01,1.109697e+00,4.132817e-01,6.060893e-02,7.428808e-02,1.247216e+01,4.176998e-02,8.496007e-04,1.292631e-06,5.369974e-06,1.707907e-03,1.691332e-03,1.108847e+00,4.132804e-01,1.212125e-01,3.924920e+00,3.615386e+00,2.546130e-01,0.000000e+00,0.000000e+00,6.060625e-02,0.000000e+00,0.000000e+00,8.396714e-02,6.724156e-01,4.132804e-01,1.189442e+00,5.502717e+01,5.086883e-01
2.500000e+01,9.503048e-01,5.961349e-01,4.045200e-02,9.750616e-02,1.240653e+01,6.384662e-02,1.095354e-03,2.537006e-06,9.483719e-06,2.204834e-03,2.176360e-03,9.492094e-01,5.961324e-01,8.089452e-02,4.134649e+00,3.743666e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.044726e-02,0.000000e+00,1.099731e-01,8.683149e-01,5.556851e-01,1.548255e+00,5.748808e+01,6.560550e-01
2.500000e+01,1.373175e+00,3.401868e-01,4.068624e-02,1.457423e-01,1.247216e+01,1.113073e-01,2.263992e-03,3.444799e-06,1.430974e-05,4.547852e-03,4.507012e-03,1.370911e+00,3.401834e-01,8.135817e-02,4.091843e+00,3.837056e+00,6.953885e-01,0.000000e+00,0.000000e+00,4.067909e-02,0.000000e+00,0.000000e+00,6.911585e-02,5.534852e-01,3.401834e-01,9.790652e-01,5.997692e+01,4.187164e-01
2.500000e+01,1.273174e+00,5.838483e-01,6.443217e-02,6.421693e-02,1.247216e+01,2.467696e-02,5.019288e-04,7.636620e-07,3.172479e-06,1.009819e-03,9.992082e-04,1.272672e+00,5.838475e-01,1.288612e-01,4.830034e+00,4.392751e+00,1.294485e-01,0.000000e+00,0.000000e+00,6.443058e-02,0.000000e+00,0.000000e+00,1.186217e-01,9.499319e-01,5.838475e-01,1.680343e+00,6.695374e+01,7.186317e-01
