T, CaO, SiO2, Al2O3, SO3, K2O, CO2, H2O, pH, MassWater, Ca_aq, Si_aq, Al_aq, S_aq, K_aq, C_aq, O_aq, H_aq, Ca_s, Si_s, Al_s, S_s, K_s, C_s, O_s, H_s, Portlandite, AmorfSi, Gibbsite, Katoite, Monosulfate, Gypsum, Ettringite, Straetlingite, Chabazite, Calcite, Hemicarbonate, Monocarbonate, Thaumasite, mETss, Al_ET_ss, Ca_ET_ss, S_ET_ss, C_ET_ss, H2O_ET_ss,  mCSHQ, Ca_ss, Si_ss, K_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.361999e+00,4.342492e-01,3.074174e-02,2.126697e-02,6.919456e-03,3.347978e-01,1.126680e-01,1.289219e+01,7.769167e-02,3.556023e-04,2.582871e-06,1.578696e-06,1.212623e-05,7.319167e-03,1.096038e-06,8.062077e-03,7.997571e-03,1.361643e+00,4.342466e-01,6.148190e-02,2.125484e-02,6.519745e-03,3.347967e-01,5.020771e+00,3.923587e+00,2.106417e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.097063e-01,0.000000e+00,0.000000e+00,0.000000e+00,9.714960e-03,1.560426e-02,4.681277e-02,2.125484e-02,2.151539e-03,2.496681e-01,8.830952e-02,7.027273e-01,4.342466e-01,6.519745e-03,1.249157e+00,6.927466e+01,5.318221e-01
2.500000e+01,1.122464e+00,4.600596e-01,6.917539e-02,4.147243e-02,9.129545e-03,2.996034e-01,1.060426e-01,1.283022e+01,6.759204e-02,3.666400e-05,1.516273e-05,5.333296e-05,9.171938e-05,6.089749e-03,5.721210e-06,6.428291e-03,5.895650e-03,1.122427e+00,4.600444e-01,1.382974e-01,4.138071e-02,1.216934e-02,2.995977e-01,5.130373e+00,4.301978e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.471145e-03,0.000000e+00,2.499140e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.891800e-02,3.038682e-02,9.116047e-02,4.138071e-02,4.199524e-03,4.861892e-01,8.012670e-02,5.824739e-01,4.515733e-01,1.216934e-02,1.096705e+00,6.790092e+01,4.193634e-01
2.500000e+01,9.444190e-01,3.713161e-01,5.125256e-02,3.356433e-02,6.686141e-03,6.608577e-01,5.522648e-02,1.091241e+01,3.562891e-02,6.486002e-06,5.094178e-04,2.930751e-06,3.035264e-03,6.630538e-03,2.083583e-05,1.371627e-02,4.436449e-04,9.444125e-01,3.708067e-01,1.025022e-01,3.052907e-02,6.741744e-03,6.608369e-01,4.376844e+00,2.240867e+00,0.000000e+00,0.000000e+00,9.350372e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.499235e-03,6.303078e-01,0.000000e+00,0.000000e+00,3.052907e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.082944e-02,2.180183e-01,3.222807e-01,6.741744e-03,4.952464e-01,5.536271e+01,1.676391e-01
2.500000e+01,9.502954e-01,5.660518e-01,6.254028e-02,3.250570e-02,6.135020e-03,7.589762e-01,5.573057e-02,1.051533e+01,3.937664e-02,9.900888e-06,7.700153e-04,3.439406e-07,4.740338e-03,1.021414e-02,2.041836e-05,2.118849e-02,5.342571e-04,9.502855e-01,5.652818e-01,1.250802e-01,2.776536e-02,2.055903e-03,7.589558e-01,4.828907e+00,1.916405e+00,0.000000e+00,1.779710e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.254011e-02,7.311904e-01,0.000000e+00,0.000000e+00,2.776536e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.377653e-02,7.325888e-02,1.093850e-01,2.055903e-03,1.664814e-01,6.308487e+01,5.596135e-02
2.500000e+01,1.129438e+00,5.349597e-01,5.951705e-02,2.456071e-02,6.658711e-03,5.119421e-01,9.837386e-02,1.243038e+01,6.691632e-02,1.745602e-05,8.664357e-05,6.921326e-05,3.314301e-04,3.045566e-03,1.375422e-05,3.977855e-03,2.273420e-03,1.129421e+00,5.348731e-01,1.189649e-01,2.422928e-02,1.027186e-02,5.119283e-01,5.235461e+00,3.512333e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.948244e-02,0.000000e+00,4.876991e-01,0.000000e+00,0.000000e+00,2.422928e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.934783e-02,4.500688e-01,4.511613e-01,1.027186e-02,9.168678e-01,6.839559e+01,3.348907e-01
2.500000e+01,1.375029e+00,3.757202e-01,3.884817e-02,3.099654e-02,1.069117e-02,7.557649e-01,1.195825e-01,1.289159e+01,9.216042e-02,4.258152e-05,2.371132e-05,8.520802e-05,1.784338e-04,9.782222e-03,1.064685e-05,1.035459e-02,9.374141e-03,1.374986e+00,3.756965e-01,7.761113e-02,3.081811e-02,1.160012e-02,7.557543e-01,5.401563e+00,3.098009e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.115234e-03,0.000000e+00,7.302597e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.408446e-02,2.262237e-02,6.786711e-02,3.081811e-02,3.115450e-03,3.619579e-01,6.578063e-02,4.771126e-01,3.705813e-01,1.160012e-02,8.999539e-01,6.998361e+01,3.433982e-01
2.500000e+01,9.051751e-01,3.998215e-01,3.929923e-02,3.178032e-02,1.106211e-02,4.881645e-01,1.233891e-01,1.235365e+01,9.973731e-02,1.769823e-05,4.665529e-04,2.246266e-04,2.837363e-03,9.550580e-03,9.141444e-05,1.641369e-02,3.307482e-03,9.051574e-01,3.993549e-01,7.837383e-02,2.894296e-02,1.257364e-02,4.880731e-01,4.243615e+00,2.705850e+00,0.000000e+00,0.000000e+00,3.659531e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.918690e-02,0.000000e+00,4.591301e-01,0.000000e+00,0.000000e+00,2.894296e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.714593e-02,2.808246e-01,3.312251e-01,1.257364e-02,6.052854e-01,5.515302e+01,2.209109e-01
2.500000e+01,1.301906e+00,5.983328e-01,6.095707e-02,4.494423e-02,8.741513e-03,1.438964e-01,1.286203e-01,1.288091e+01,8.063687e-02,2.581742e-04,3.577527e-06,2.897338e-06,1.735239e-05,7.560995e-03,1.415787e-06,8.122308e-03,8.030489e-03,1.301648e+00,5.983292e-01,1.219112e-01,4.492688e-02,9.922031e-03,1.438950e-01,5.792862e+00,5.368315e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.488141e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.053574e-02,3.298483e-02,9.895449e-02,4.492688e-02,4.550367e-03,5.277573e-01,1.186042e-01,9.299591e-01,5.983292e-01,9.922031e-03,1.667305e+00,7.917058e+01,7.020906e-01
2.500000e+01,1.218813e+00,3.154582e-01,4.664713e-02,3.577036e-02,1.030119e-02,6.329688e-01,7.569316e-02,1.303349e+01,4.793516e-02,1.782135e-05,1.463905e-05,4.777342e-05,1.745976e-04,7.347841e-03,9.491868e-06,7.811543e-03,6.948168e-03,1.218795e+00,3.154436e-01,9.324649e-02,3.559576e-02,1.325454e-02,6.329593e-01,4.929937e+00,3.122103e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.958297e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.625226e-02,2.610211e-02,7.830633e-02,3.559576e-02,3.557402e-03,4.176338e-01,5.653605e-02,4.103704e-01,3.154436e-01,1.325454e-02,7.741239e-01,6.411438e+01,2.959089e-01
2.500000e+01,1.256801e+00,4.040512e-01,5.745160e-02,2.375121e-02,1.192324e-02,1.944834e-01,1.068345e-01,1.314117e+01,6.796553e-02,1.425448e-04,2.677249e-06,2.564381e-06,4.282615e-05,1.266883e-02,2.498820e-06,1.304961e-02,1.285595e-02,1.256658e+00,4.040485e-01,1.149006e-01,2.370838e-02,1.117765e-02,1.944809e-01,4.894115e+00,4.382666e+00,2.152764e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.433684e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.081637e-02,1.737059e-02,5.211176e-02,2.370838e-02,2.347496e-03,2.779294e-01,8.222952e-02,6.508418e-01,4.040485e-01,1.117765e-02,1.161712e+00,6.788753e+01,4.926412e-01
