,count,mean,std,min,25%,50%,75%,max,mineral
T,15711.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,with Portlandite
CaO,15711.0,1.2253031846095093,0.12633192596726117,0.9001059,1.138969,1.249375,1.331604,1.399974,with Portlandite
SiO2,15711.0,0.4059762437400547,0.07632822193005906,0.3000033,0.34209009999999995,0.3912064,0.4586587,0.5999239,with Portlandite
Al2O3,15711.0,0.04843973382279931,0.011431120422768018,0.03000246,0.03851047,0.04757254,0.058088055,0.06999926,with Portlandite
SO3,15711.0,0.03479537081407932,0.008711299796705744,0.02000386,0.027251619999999997,0.0346921,0.04237695,0.04999448,with Portlandite
K2O,15711.0,0.009000017567500478,0.0017420202271804291,0.006000662,0.007483877,0.00900748,0.010511015,0.0119999,with Portlandite
CO2,15711.0,0.19583103291483675,0.14496166353594578,0.001004178,0.077528335,0.1664504,0.28688535000000004,0.7624632,with Portlandite
H2O,15711.0,0.0998342193571383,0.028833933035264797,0.05001202,0.074695505,0.09995085,0.12491189999999999,0.149999,with Portlandite
pH,15711.0,13.058408321558145,0.12893632098241825,12.75459,12.963954999999999,13.04899,13.143575,13.4799,with Portlandite
MassWater,15711.0,0.06144928698089755,0.02934360137725123,8.488139e-08,0.036077175,0.06131348,0.086554795,0.1214808,with Portlandite
Ca_aq,15711.0,0.00020381223361737934,0.00015062314362415417,9.764647e-11,7.639377e-05,0.0001726671,0.00030237225,0.0007688359,with Portlandite
Si_aq,15711.0,2.2227438417412225e-06,9.452143604839378e-07,5.87635e-12,1.4378855000000002e-06,2.250025e-06,3.0235970000000003e-06,4.274468e-06,with Portlandite
Al_aq,15711.0,3.1627972377617952e-06,5.171020301877632e-06,1.662557e-11,1.3801129999999999e-06,1.887303e-06,2.50713e-06,5.443527e-05,with Portlandite
S_aq,15711.0,2.172115485223557e-05,1.2411577622702353e-05,1.248673e-09,1.2258645000000001e-05,1.955333e-05,2.9774835e-05,6.585361e-05,with Portlandite
K_aq,15711.0,0.008501910913123346,0.003147267035595286,1.618087e-08,0.0062397484999999996,0.008379143,0.010752655,0.01695577,with Portlandite
C_aq,15711.0,1.354224870902278e-06,7.38288352265149e-07,3.377748e-12,9.3228805e-07,1.36619e-06,1.8759905e-06,3.168905e-06,with Portlandite
O_aq,15711.0,0.008961929445053784,0.003298205548900082,2.02104e-06,0.0065739095,0.008966297,0.011319514999999999,0.01768092,with Portlandite
H_aq,15711.0,0.008856196703885474,0.0032664406099994466,1.384471e-08,0.006483488,0.008868168,0.011188435,0.01747502,with Portlandite
Ca_s,15711.0,1.2250993676850614,0.12633574094903052,0.8998167,1.138731,1.249193,1.331367,1.399856,with Portlandite
Si_s,15711.0,0.4059740207052384,0.0763283745957739,0.3000005,0.34208775,0.3912033,0.45865705,0.5999235,with Portlandite
Al_s,15711.0,0.09687630491948315,0.022861579728796516,0.06000193,0.07701854999999999,0.09514392,0.1161639,0.1399945,with Portlandite
S_s,15711.0,0.034773649623830435,0.008711099744114955,0.01996852,0.027231764999999998,0.03466267,0.042350805000000005,0.04997873,with Portlandite
K_s,15711.0,0.009498124257144675,0.0031504220548551607,0.003683374,0.007155107,0.00893646,0.011306150000000001,0.02283857,with Portlandite
C_s,15711.0,0.19582967869702755,0.14496135363704302,0.001004141,0.077526835,0.1664493,0.28688389999999997,0.7624604,with Portlandite
O_s,15711.0,4.836755902616002,0.44906468282919215,3.350146,4.523887,4.865597,5.1690875,6.015773,with Portlandite
H_s,15711.0,4.307329327795812,0.49271472971116864,2.838365,3.954899,4.304777,4.6596045,5.834454,with Portlandite
