T, CaO, SiO2, Al2O3, SO3, K2O, H2O, pH, MassWater, Ca_aq, Si_aq, Al_aq, S_aq, K_aq, O_aq, H_aq, Ca_s, Si_s, Al_s, S_s, K_s, O_s,  H_s, Portlandite, AmorfSi, Gibbsite, Katoite, Monosulfate, Gypsum, Ettringite, Straetlingite, Chabazite, mCSHQ, Ca_ss, Si_ss, K_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.240250e+00,5.770438e-01,5.651772e-02,2.508052e-02,7.722923e-03,5.983906e-02,1.304895e+01,1.829191e-02,5.069318e-05,6.644972e-07,9.536121e-06,2.653232e-07,2.668864e-03,2.783047e-03,2.758985e-03,1.240199e+00,5.770431e-01,1.130259e-01,2.508025e-02,1.277698e-02,4.958836e+00,4.626764e+00,1.141957e-01,0.000000e+00,0.000000e+00,3.143270e-02,2.508025e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.173984e-01,9.313845e-01,5.770431e-01,1.277698e-02,1.659467e+00,6.910171e+01,7.049502e-01
2.500000e+01,1.374629e+00,4.812199e-01,4.842861e-02,2.310271e-02,8.902428e-03,1.198194e-01,1.296384e+01,7.905825e-02,2.865506e-04,2.719186e-06,3.343953e-05,7.117093e-07,9.150694e-03,9.763610e-03,9.683958e-03,1.374342e+00,4.812172e-01,9.682378e-02,2.310200e-02,8.654162e-03,4.843156e+00,4.575021e+00,4.281088e-01,0.000000e+00,0.000000e+00,2.530989e-02,2.310200e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.787881e-02,7.778960e-01,4.812172e-01,8.654162e-03,1.384114e+00,6.923841e+01,5.887408e-01
2.500000e+01,1.215038e+00,5.589422e-01,5.708400e-02,4.522861e-02,1.189999e-02,8.667813e-02,1.314547e+01,4.366261e-02,8.968207e-05,1.729408e-06,2.881363e-05,1.096954e-06,8.198457e-03,8.412753e-03,8.343744e-03,1.214948e+00,5.589405e-01,1.141392e-01,4.522751e-02,1.560152e-02,5.057049e+00,4.819056e+00,9.825225e-02,0.000000e+00,0.000000e+00,1.184208e-02,4.522751e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.137538e-01,9.002598e-01,5.589405e-01,1.560152e-02,1.607038e+00,7.065405e+01,6.814345e-01
2.500000e+01,1.288010e+00,4.240149e-01,4.002347e-02,4.243254e-02,8.519412e-03,1.440429e-01,1.291108e+01,1.041904e-01,4.473700e-04,3.491662e-06,1.309275e-05,6.125550e-06,1.036218e-02,1.128803e-02,1.122514e-02,1.287563e+00,4.240114e-01,8.003385e-02,4.242641e-02,6.676640e-03,4.626960e+00,4.481413e+00,4.391044e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.881218e-02,0.000000e+00,1.204745e-03,0.000000e+00,0.000000e+00,8.623182e-02,6.859811e-01,4.240114e-01,6.676640e-03,1.219680e+00,6.669510e+01,5.191558e-01
2.500000e+01,1.069264e+00,5.706197e-01,5.890666e-02,4.832819e-02,8.259513e-03,1.052262e-01,1.289585e+01,6.410018e-02,1.626666e-04,3.285339e-06,3.307465e-05,1.919409e-06,6.325316e-03,6.693247e-03,6.607962e-03,1.069101e+00,5.706164e-01,1.177802e-01,4.832627e-02,1.019371e-02,4.837077e+00,4.599994e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.832627e-02,0.000000e+00,0.000000e+00,1.056385e-02,0.000000e+00,1.097821e-01,8.546685e-01,5.600526e-01,1.019371e-02,1.538919e+00,6.666034e+01,6.430566e-01
2.500000e+01,1.254944e+00,3.922656e-01,5.887183e-02,3.681971e-02,6.830284e-03,6.407393e-02,1.309063e+01,2.491329e-02,6.063371e-05,9.361370e-07,1.438308e-05,4.577218e-07,4.057652e-03,4.197252e-03,4.161944e-03,1.254883e+00,3.922647e-01,1.177293e-01,3.681925e-02,9.602916e-03,4.515854e+00,4.369176e+00,4.088718e-01,0.000000e+00,0.000000e+00,2.204539e-02,3.681925e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.981650e-02,6.325984e-01,3.922647e-01,9.602916e-03,1.127974e+00,6.457450e+01,4.788174e-01
2.500000e+01,1.229154e+00,3.167004e-01,3.698731e-02,3.723278e-02,1.031274e-02,5.334305e-02,1.336560e+01,1.750831e-02,1.842008e-05,9.539567e-07,6.593056e-06,1.375097e-05,5.712077e-03,5.786092e-03,5.713167e-03,1.229136e+00,3.166994e-01,7.396803e-02,3.721903e-02,1.491340e-02,4.096804e+00,4.008407e+00,5.744692e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.686651e-02,0.000000e+00,1.175078e-04,0.000000e+00,0.000000e+00,6.452510e-02,5.064954e-01,3.166994e-01,1.491340e-02,9.098432e-01,5.993766e+01,3.833854e-01
2.500000e+01,1.163886e+00,5.028666e-01,4.189253e-02,2.600041e-02,9.137367e-03,6.381672e-02,1.313092e+01,2.608254e-02,5.603197e-05,1.017763e-06,1.661363e-05,6.029856e-07,4.717305e-03,4.850319e-03,4.809738e-03,1.163830e+00,5.028656e-01,8.376845e-02,2.599981e-02,1.355743e-02,4.487117e+00,4.214250e+00,2.019518e-01,0.000000e+00,0.000000e+00,1.588442e-02,2.599981e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.023360e-01,8.102257e-01,5.028656e-01,1.355743e-02,1.445869e+00,6.323578e+01,6.132798e-01
2.500000e+01,1.118372e+00,5.561130e-01,6.538269e-02,4.280056e-02,9.130003e-03,6.801069e-02,1.307890e+01,2.661272e-02,5.564899e-05,1.166237e-06,1.992049e-05,5.531593e-07,4.226721e-03,4.362350e-03,4.314936e-03,1.118316e+00,5.561118e-01,1.307455e-01,4.280001e-02,1.403329e-02,4.871296e+00,4.618443e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.257272e-02,4.280001e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.117555e-01,8.793982e-01,5.561118e-01,1.403329e-02,1.574585e+00,6.713370e+01,6.652739e-01
2.500000e+01,1.301319e+00,3.660941e-01,5.717698e-02,3.779998e-02,1.199646e-02,8.463795e-02,1.324584e+01,4.550173e-02,6.870098e-05,2.039952e-06,3.826939e-05,2.034243e-06,1.102093e-02,1.120497e-02,1.111243e-02,1.301250e+00,3.660921e-01,1.143157e-01,3.779795e-02,1.297199e-02,4.526328e+00,4.403081e+00,5.039605e-01,0.000000e+00,0.000000e+00,1.935990e-02,3.779795e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.453846e-02,5.880183e-01,3.660921e-01,1.297199e-02,1.052249e+00,6.523416e+01,4.451066e-01
2.500000e+01,9.761920e-01,4.493329e-01,5.190165e-02,3.374586e-02,7.326774e-03,1.227047e-01,1.288220e+01,8.828701e-02,4.160749e-04,2.923893e-06,3.054449e-05,5.082582e-07,8.076098e-03,8.944947e-03,8.871268e-03,9.757759e-01,4.493300e-01,1.037728e-01,3.374535e-02,6.577450e-03,4.067601e+00,3.865962e+00,5.913610e-02,0.000000e+00,0.000000e+00,1.814103e-02,3.374535e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.137485e-02,7.272353e-01,4.493300e-01,6.577450e-03,1.292564e+00,5.661768e+01,5.503657e-01
2.500000e+01,1.021685e+00,3.142041e-01,5.533202e-02,4.497074e-02,6.646857e-03,1.274256e-01,1.288552e+01,9.367889e-02,4.367459e-04,3.106510e-06,3.267598e-05,5.490568e-07,8.654829e-03,9.567431e-03,9.488793e-03,1.021248e+00,3.142010e-01,1.106314e-01,4.497019e-02,4.638885e-03,3.850148e+00,3.794640e+00,3.018235e-01,0.000000e+00,0.000000e+00,1.034549e-02,4.497019e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.389577e-02,5.085075e-01,3.142010e-01,4.638885e-03,9.038411e-01,5.493873e+01,3.848352e-01
2.500000e+01,9.074654e-01,3.410980e-01,6.831460e-02,4.133627e-02,1.176524e-02,6.026164e-02,1.333972e+01,2.759280e-02,3.131029e-05,1.438379e-06,2.901451e-05,2.118524e-06,8.433099e-03,8.532598e-03,8.459968e-03,9.074341e-01,3.410966e-01,1.366002e-01,4.133415e-02,1.509738e-02,3.761715e+00,3.671273e+00,1.151138e-01,0.000000e+00,0.000000e+00,2.696594e-02,4.133415e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.948456e-02,5.460859e-01,3.410966e-01,1.509738e-02,9.800489e-01,5.240116e+01,4.133601e-01
2.500000e+01,1.140924e+00,5.941563e-01,3.332125e-02,3.107821e-02,6.974967e-03,8.643592e-02,1.290873e+01,4.692455e-02,2.029344e-04,1.571160e-06,1.732997e-05,3.119384e-07,4.642258e-03,5.069773e-03,5.027273e-03,1.140721e+00,5.941547e-01,6.662517e-02,3.107790e-02,9.307676e-03,4.732893e+00,4.412075e+00,4.843222e-02,0.000000e+00,0.000000e+00,2.234687e-03,3.107790e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.208335e-01,9.612732e-01,5.941547e-01,9.307676e-03,1.709106e+00,6.612936e+01,7.274979e-01
2.500000e+01,1.269239e+00,5.621428e-01,4.732499e-02,2.633841e-02,1.000378e-02,1.438990e-01,1.292790e+01,1.029453e-01,4.185591e-04,3.476949e-06,3.985691e-05,7.600118e-07,1.076466e-02,1.164891e-02,1.155400e-02,1.268820e+00,5.621393e-01,9.461012e-02,2.633765e-02,9.242900e-03,4.921494e+00,4.605691e+00,1.913488e-01,0.000000e+00,0.000000e+00,2.096741e-02,2.633765e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.143278e-01,9.092188e-01,5.621393e-01,9.242900e-03,1.616965e+00,6.917921e+01,6.881125e-01
2.500000e+01,9.998271e-01,5.234040e-01,4.465983e-02,3.101756e-02,6.307997e-03,9.790758e-02,1.284936e+01,6.207510e-02,2.805722e-04,2.264621e-06,2.478618e-05,3.451268e-07,5.215863e-03,5.806926e-03,5.747357e-03,9.995465e-01,5.234017e-01,8.929487e-02,3.101721e-02,7.400131e-03,4.280637e+00,4.007186e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.363022e-02,3.101721e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.053973e-01,8.345870e-01,5.234017e-01,7.400131e-03,1.487571e+00,5.919062e+01,6.316781e-01
2.500000e+01,1.115689e+00,3.775113e-01,3.677205e-02,3.578752e-02,6.047705e-03,1.317970e-01,1.282248e+01,9.703851e-02,5.563014e-04,3.148026e-06,2.898688e-05,4.066241e-07,7.373463e-03,8.521220e-03,8.450382e-03,1.115133e+00,3.775082e-01,7.351511e-02,3.578711e-02,4.721947e-03,4.040638e+00,3.900989e+00,3.576072e-01,0.000000e+00,0.000000e+00,9.704432e-04,3.578711e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.675954e-02,6.114658e-01,3.775082e-01,4.721947e-03,1.086045e+00,5.808388e+01,4.627322e-01
2.500000e+01,9.281905e-01,5.403426e-01,3.935163e-02,4.846242e-02,1.084953e-02,1.221605e-01,1.293606e+01,8.528935e-02,1.220074e-04,6.469716e-06,5.482685e-05,1.603773e-05,9.534472e-03,9.875020e-03,9.680967e-03,9.280685e-01,5.403361e-01,7.864843e-02,4.844638e-02,1.216459e-02,4.350350e+00,4.144430e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.840129e-02,0.000000e+00,1.001503e-02,1.090789e-02,0.000000e+00,1.010511e-01,7.725574e-01,5.294282e-01,1.216459e-02,1.406853e+00,5.962974e+01,5.745216e-01
