T, CaO, SiO2, CO2, H2O, pH, MassWater, Ca_aq, Si_aq, C_aq, O_aq, H_aq, Ca_s, Si_s, C_s, O_s, H_s, Portlandite, AmorfSi, Calcite, mCSHQ, Ca_ss, Si_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.219366e+00,3.624961e-01,3.479992e-01,9.132835e-02,1.247261e+01,6.756240e-02,1.371190e-03,2.090749e-06,4.442669e-07,2.746984e-03,2.737448e-03,1.217995e+00,3.624940e-01,3.479988e-01,3.962468e+00,2.646975e+00,2.802109e-01,0.000000e+00,3.479988e-01,7.364876e-02,5.897852e-01,3.624940e-01,1.043277e+00,5.504080e+01,4.461776e-01
2.500000e+01,1.415087e+00,5.833393e-01,2.314372e-01,5.445458e-02,1.247261e+01,2.001383e-02,4.061831e-04,6.193664e-07,1.316036e-07,8.151377e-04,8.109053e-04,1.414681e+00,5.833387e-01,2.314371e-01,4.957251e+00,3.826037e+00,2.341398e-01,0.000000e+00,2.314371e-01,1.185183e-01,9.491040e-01,5.833387e-01,1.678879e+00,6.927113e+01,7.180054e-01
2.500000e+01,1.303828e+00,3.185966e-01,5.415630e-01,6.751637e-02,1.247261e+01,4.667385e-02,9.472533e-04,1.444419e-06,3.069110e-07,1.898306e-03,1.891100e-03,1.302881e+00,3.185952e-01,5.415627e-01,4.183087e+00,2.319781e+00,2.429572e-01,0.000000e+00,5.415627e-01,6.472973e-02,5.183609e-01,3.185952e-01,9.169334e-01,5.697110e+01,3.921445e-01
2.500000e+01,1.132325e+00,2.405259e-01,6.609724e-01,5.649243e-02,1.247261e+01,4.264425e-02,8.654721e-04,1.319931e-06,2.804140e-07,1.734588e-03,1.727831e-03,1.131460e+00,2.405246e-01,6.609721e-01,3.705844e+00,1.542782e+00,7.914898e-02,0.000000e+00,6.609721e-01,4.886794e-02,3.913384e-01,2.405246e-01,6.922422e-01,4.887500e+01,2.960509e-01
2.500000e+01,2.967889e-01,4.060788e-01,5.791758e-01,8.305488e-02,4.771493e+00,9.602623e-02,5.334681e-03,1.605479e-04,2.877216e-01,5.864370e-01,1.067204e-02,2.914542e-01,4.059183e-01,2.914542e-01,1.686199e+00,0.000000e+00,0.000000e+00,4.059183e-01,2.914542e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.253620e+01,0.000000e+00
2.500000e+01,1.732069e+00,5.713927e-01,5.840550e-01,1.466612e-01,1.247261e+01,1.132721e-01,2.298877e-03,3.505642e-06,7.448387e-07,4.604121e-03,4.589486e-03,1.729770e+00,5.713892e-01,5.840543e-01,5.901199e+00,3.721083e+00,2.160539e-01,0.000000e+00,5.840543e-01,1.160905e-01,9.296620e-01,5.713892e-01,1.644488e+00,8.061145e+01,7.032973e-01
2.500000e+01,1.025982e+00,3.107275e-01,6.593411e-01,9.247724e-02,1.187297e+01,7.983550e-02,3.604536e-04,1.353957e-05,6.093334e-07,7.403854e-04,6.992681e-04,1.025622e+00,3.107140e-01,6.593405e-01,3.668624e+00,1.405786e+00,0.000000e+00,0.000000e+00,6.593405e-01,5.187195e-02,3.662811e-01,3.107140e-01,7.028931e-01,4.649519e+01,2.622616e-01
2.500000e+01,1.319705e+00,3.082860e-01,6.714004e-01,8.754078e-02,1.247261e+01,6.901732e-02,1.400718e-03,2.135969e-06,4.538340e-07,2.806097e-03,2.796398e-03,1.318304e+00,3.082839e-01,6.713999e-01,4.310249e+00,2.065154e+00,1.453202e-01,0.000000e+00,6.713999e-01,6.263476e-02,5.015842e-01,3.082839e-01,8.872570e-01,5.760209e+01,3.794528e-01
2.500000e+01,1.262683e+00,4.284884e-01,7.829803e-01,5.103432e-02,1.178230e+01,3.419412e-02,1.251849e-04,7.015362e-06,2.711339e-07,2.618905e-04,2.402652e-04,1.262558e+00,4.284814e-01,7.829800e-01,4.620668e+00,1.870375e+00,0.000000e+00,0.000000e+00,7.829800e-01,6.948616e-02,4.795778e-01,4.284814e-01,9.351873e-01,5.856860e+01,3.454826e-01
2.500000e+01,1.587867e+00,4.270792e-01,4.387404e-02,1.257251e-01,1.247261e+01,8.841749e-02,1.794448e-03,2.736737e-06,5.814025e-07,3.594304e-03,3.582440e-03,1.586073e+00,4.270765e-01,4.387346e-02,4.604458e+00,4.152970e+00,8.473369e-01,0.000000e+00,4.387346e-02,8.677013e-02,6.948622e-01,4.270765e-01,1.229148e+00,6.842321e+01,5.256693e-01
2.500000e+01,8.370890e-01,5.036691e-01,8.152860e-01,1.238872e-01,9.791970e+00,1.230464e-01,1.313016e-04,4.852732e-04,3.219839e-06,1.238064e-03,2.555533e-04,8.369577e-01,5.031838e-01,8.152828e-01,3.522599e+00,9.741552e-02,0.000000e+00,4.710679e-01,8.152828e-01,4.022620e-03,2.167492e-02,3.211591e-02,4.870776e-02,4.554673e+01,1.664163e-02
2.500000e+01,1.367618e+00,5.245746e-01,8.009261e-01,1.358119e-01,1.172303e+01,1.157155e-01,3.707990e-04,2.679361e-05,9.434759e-07,7.812977e-04,7.060490e-04,1.367247e+00,5.245478e-01,8.009252e-01,5.134959e+00,2.233531e+00,0.000000e+00,0.000000e+00,8.009252e-01,8.339382e-02,5.663220e-01,5.245478e-01,1.116765e+00,6.518250e+01,4.111678e-01
2.500000e+01,2.196967e-01,4.583872e-01,2.016921e-03,6.211719e-02,9.791970e+00,5.332283e-02,5.689899e-05,2.102845e-04,1.395300e-06,5.376301e-04,1.107430e-04,2.196398e-01,4.581769e-01,2.015526e-03,1.629069e+00,9.780880e-01,0.000000e+00,1.357215e-01,2.015526e-03,4.038858e-02,2.176243e-01,3.224554e-01,4.890440e-01,2.182307e+01,1.670883e-01
