testDataY,predDataY,predCI_low,predCI_upp,group,var,modelType
1.9939,1.9946573759093649,1.9591803873889821,2.0301343644297476,group2,pH,GPY
2.7346,2.7347549870507195,2.7298026234470942,2.739707350654345,group2,pH,GPY
2.5119,2.503219034160505,2.169819503566269,2.8366185647547413,group2,pH,GPY
1.9877,1.9876804114352147,1.9866904508890855,1.9886703719813439,group2,pH,GPY
2.6026,2.599785377775388,2.5203969302636158,2.6791738252871604,group2,pH,GPY
2.4256,2.425588647556351,2.4233109740357537,2.4278663210769484,group2,pH,GPY
2.1221,2.1220288022498024,2.1213078255884747,2.12274977891113,group2,pH,GPY
3.3334,3.3182880053935393,3.2539026179739445,3.382673392813134,group2,pH,GPY
1.8388,1.838720677568854,1.8347201218459739,1.8427212332917342,group2,pH,GPY
1.9925,1.99249535675311,1.9911914196897593,1.9937992938164608,group2,pH,GPY
1.9537,1.953658022498147,1.9521901279975655,1.9551259169987285,group2,pH,GPY
1.8636,1.8635000326356177,1.8627147868272886,1.8642852784439468,group2,pH,GPY
2.6057,2.605616651662056,2.604775250780336,2.6064580525437755,group2,pH,GPY
3.2741,3.274417858494825,3.263205585537044,3.2856301314526064,group2,pH,GPY
2.3544,2.3528868503996954,2.277177852536222,2.4285958482631687,group2,pH,GPY
2.2499,2.250021229825612,2.2492630683593733,2.250779391291851,group2,pH,GPY
1.8949,1.8948758411284699,1.8927475252183315,1.8970041570386083,group2,pH,GPY
1.9013,1.947464909230341,1.537100133228119,2.3578296852325633,group2,pH,GPY
2.0491,2.0507855664558594,1.7973291783625804,2.304241954549138,group2,pH,GPY
2.079,2.0790122597882297,2.078054535444969,2.0799699841314903,group2,pH,GPY
2.8297,2.8297058786449383,2.829243095873095,2.8301686614167814,group2,pH,GPY
2.0118,2.1293672818134155,1.6322790286416966,2.6264555349851344,group2,pH,GPY
2.3744,2.3744539564016844,2.365662361307052,2.3832455514963167,group2,pH,GPY
1.882,1.8819801874931206,1.881020289924796,1.882940085061445,group2,pH,GPY
4.4955,3.516017497614161,2.9355232459055016,4.09651174932282,group2,pH,GPY
1.9066,1.9066173638882278,1.9057975221587953,1.9074372056176603,group2,pH,GPY
2.5698,2.3905424869091036,1.7429191388443748,3.0381658349738325,group2,pH,GPY
3.9289,2.793173451372978,2.168555834590356,3.4177910681556,group2,pH,GPY
1.9362,1.9362122396679193,1.9345356055342577,1.937888873801581,group2,pH,GPY
2.3294,2.329402620785383,2.2167345475075484,2.4420706940632178,group2,pH,GPY
1.8484,1.8484356552802317,1.8477834567789735,1.8490878537814899,group2,pH,GPY
2.3783,2.378233286441918,2.3771975954825417,2.3792689774012943,group2,pH,GPY
3.9123,3.0435495573976743,2.46632802431104,3.6207710904843085,group2,pH,GPY
2.0688,2.068735871329223,2.06837518282137,2.0690965598370763,group2,pH,GPY
2.2361,2.236100757727419,2.2357977440028067,2.2364037714520313,group2,pH,GPY
2.5053,2.471153267538734,1.9067908568687302,3.035515678208738,group2,pH,GPY
1.9045,1.9044912881173601,1.9037491607983188,1.9052334154364015,group2,pH,GPY
1.899,1.8988699656804873,1.8129330549047333,1.9848068764562412,group2,pH,GPY
4.4781,4.484403221465489,4.4829517173680395,4.485854725562938,group2,pH,GPY
2.9528,2.9527314629947505,2.9523757698925985,2.9530871560969025,group2,pH,GPY
2.1934,2.246990415813907,1.779863106593542,2.7141177250342725,group2,pH,GPY
2.2082,2.2111941177128807,1.955005830567201,2.46738240485856,group2,pH,GPY
1.9797,1.9797788599042512,1.977929941081216,1.9816277787272865,group2,pH,GPY
1.9266,1.9265910217780347,1.9261034749427015,1.9270785686133678,group2,pH,GPY
1.8625,1.862703193735381,1.8572262752953248,1.8681801121754373,group2,pH,GPY
1.825,1.8251276487354042,1.815087600964339,1.8351676965064694,group2,pH,GPY
2.1441,2.1440547698897565,2.143099834121447,2.145009705658066,group2,pH,GPY
3.6251,3.6251081905952187,3.6245644946110387,3.6256518865793987,group2,pH,GPY
4.2589,2.8830911801493064,2.2721367887327304,3.4940455715658825,group2,pH,GPY
2.0271,2.0271878917159722,2.025253989099877,2.0291217943320676,group2,pH,GPY
2.7225,2.7225964870745645,2.722100858883025,2.723092115266104,group2,pH,GPY
1.9016,1.9015488719446536,1.900611463338706,1.9024862805506013,group2,pH,GPY
1.8898,1.8898431278517753,1.8890511005636839,1.8906351551398668,group2,pH,GPY
2.115,2.1193700930130746,2.026869924765795,2.211870261260354,group2,pH,GPY
2.2105,2.2105325682389503,2.20987788261182,2.2111872538660804,group2,pH,GPY
5.2505,3.5378658805560974,2.945361073100745,4.13037068801145,group2,pH,GPY
2.4396,2.4175939693969344,1.818798756950482,3.016389181843387,group2,pH,GPY
1.8293,1.8293275298692109,1.828920579108395,1.8297344806300269,group2,pH,GPY
1.9493,1.9493796460205934,1.9416196427883403,1.9571396492528466,group2,pH,GPY
