    mass_H2O	        totU	     totAcid	     totBase	          pH	        U_aq	         U_s	        U_sc	        U_ex	        Kd_s	       Kd_sc	       Kd_ex	metaschoepite	
    0.999953	  1.0921e-04	  1.2468e-02	  1.0000e-09	  2.0257e+00	  1.0231e-04	  6.9050e-06	  3.2117e-08	  6.8729e-06	  6.7490e+01	  3.1391e-01	  6.7176e+01	           0	
     0.99992	  4.1177e-07	  1.5839e-02	  1.0000e-09	  1.9143e+00	  3.8515e-07	  2.6647e-08	  7.2831e-11	  2.6574e-08	  6.9187e+01	  1.8910e-01	  6.8998e+01	           0	
    0.999884	  1.9041e-09	  1.9829e-02	  1.0000e-09	  1.8173e+00	  1.7819e-09	  1.2241e-10	  2.1332e-13	  1.2220e-10	  6.8698e+01	  1.1971e-01	  6.8578e+01	           0	
    0.999829	  7.2301e-03	  1.0000e-09	  1.1624e-02	  1.1612e+01	  7.2293e-03	  2.0112e-06	  2.0112e-06	  7.1718e-19	  2.7820e-01	  2.7820e-01	  9.9204e-14	           0	
    0.999898	  7.3758e-09	  1.8338e-02	  1.0000e-09	  1.8510e+00	  6.9012e-09	  4.7533e-10	  9.6872e-13	  4.7436e-10	  6.8876e+01	  1.4037e-01	  6.8736e+01	           0	
    0.999931	  1.4651e-09	  1.0000e-09	  1.4763e-02	  1.2038e+01	  1.2914e-10	  1.3360e-09	  1.3360e-09	  8.1982e-28	  1.0345e+04	  1.0345e+04	  6.3482e-15	           0	
    0.999972	  7.8120e-08	  1.0053e-02	  1.0000e-09	  2.1115e+00	  7.3003e-08	  5.1196e-09	  3.4751e-11	  5.0848e-09	  7.0129e+01	  4.7602e-01	  6.9653e+01	           0	
    0.999886	  1.3267e-06	  1.9673e-02	  1.0000e-09	  1.8207e+00	  1.2416e-06	  8.5282e-08	  1.5108e-10	  8.5130e-08	  6.8689e+01	  1.2168e-01	  6.8567e+01	           0	
     1.00006	  4.9627e-05	  1.0000e-09	  3.5184e-04	  1.0277e+01	  4.7537e-05	  2.0871e-06	  2.0871e-06	  1.5273e-16	  4.3905e+01	  4.3905e+01	  3.2129e-09	           0	
    0.999973	  8.7950e-08	  1.0036e-02	  1.0000e-09	  2.1122e+00	  8.2188e-08	  5.7640e-09	  3.9255e-11	  5.7248e-09	  7.0132e+01	  4.7762e-01	  6.9654e+01	           0	
    0.999953	  5.8087e-08	  1.2222e-02	  1.0000e-09	  2.0266e+00	  5.4303e-08	  3.7864e-09	  1.7388e-11	  3.7690e-09	  6.9727e+01	  3.2020e-01	  6.9407e+01	           0	
    0.999938	  8.8700e-03	  3.9228e-03	  1.0000e-09	  5.0151e+00	  8.8166e-03	  5.3937e-05	  4.0055e-05	  1.3882e-05	  6.1176e+00	  4.5431e+00	  1.5745e+00	           0	
     0.99995	  2.8522e-05	  1.2547e-02	  1.0000e-09	  2.0172e+00	  2.6680e-05	  1.8432e-06	  8.1430e-09	  1.8350e-06	  6.9085e+01	  3.0521e-01	  6.8779e+01	           0	
     1.00006	  3.1201e-05	  1.0000e-09	  9.6675e-05	  9.4313e+00	  2.7846e-05	  3.3526e-06	  3.3526e-06	  1.7082e-14	  1.2040e+02	  1.2040e+02	  6.1343e-07	           0	
     1.00003	  2.1832e-05	  1.0000e-09	  3.6050e-03	  1.1419e+01	  1.9841e-05	  1.9901e-06	  1.9901e-06	  2.0798e-20	  1.0030e+02	  1.0030e+02	  1.0482e-12	           0	
    0.999989	  1.3959e-03	  1.1051e-02	  1.0000e-09	  2.1981e+00	  1.3291e-03	  6.6792e-05	  6.6104e-07	  6.6131e-05	  5.0252e+01	  4.9734e-01	  4.9755e+01	           0	
     1.00002	  1.0690e-05	  1.0000e-09	  4.3496e-03	  1.1504e+01	  8.7138e-06	  1.9759e-06	  1.9759e-06	  4.7300e-21	  2.2675e+02	  2.2675e+02	  5.4281e-13	           0	
    0.999972	  1.6956e-03	  1.3516e-02	  1.0000e-09	  2.1096e+00	  1.6191e-03	  7.6534e-05	  5.6381e-07	  7.5970e-05	  4.7269e+01	  3.4822e-01	  4.6921e+01	           0	
     0.99998	  1.4284e-03	  1.0000e-09	  6.5646e-03	  1.1555e+01	  1.4264e-03	  2.0051e-06	  2.0051e-06	  4.2042e-19	  1.4057e+00	  1.4057e+00	  2.9473e-13	           0	
     1.00005	  4.7284e-09	  1.0000e-09	  1.4921e-03	  1.1028e+01	  1.8978e-10	  4.5386e-09	  4.5386e-09	  3.6946e-24	  2.3915e+04	  2.3915e+04	  1.9467e-11	           0	
     1.00004	  2.2460e-06	  2.3815e-03	  1.0000e-09	  2.7472e+00	  2.0808e-06	  1.6513e-07	  1.8514e-08	  1.4662e-07	  7.9360e+01	  8.8976e+00	  7.0462e+01	           0	
     1.00004	  3.3022e-07	  1.0000e-09	  2.3547e-03	  1.1233e+01	  1.6803e-08	  3.1342e-07	  3.1342e-07	  7.2105e-23	  1.8652e+04	  1.8652e+04	  4.2911e-12	           0	
    0.999944	  1.6903e-03	  1.6568e-02	  1.0000e-09	  1.9948e+00	  1.6144e-03	  7.5942e-05	  3.6708e-07	  7.5575e-05	  4.7040e+01	  2.2738e-01	  4.6812e+01	           0	
    0.999927	  1.3935e-06	  1.5061e-02	  1.0000e-09	  1.9362e+00	  1.3033e-06	  9.0284e-08	  2.7311e-10	  9.0011e-08	  6.9272e+01	  2.0955e-01	  6.9063e+01	           0	
